name,serotype,source,cluster,location
2911_23_S59_Inaba_2023,Inaba,campsite,cluster-d,Don-Bosco
45_S45_Ogawa_2023,Ogawa,campsite,cluster-e,Kanyaruchinya
57_S57_Ogawa_2023,Ogawa,campsite,cluster-e,Munigi
3167_23_S60_Inaba_2023,Inaba,campsite,cluster-d,Don-Bosco
3176_23_S6_Inaba_2023,Inaba,campsite,cluster-d,Don-Bosco
3177_23_S55_Inaba_2023,Inaba,campsite,cluster-d,Don-Bosco
3260_23_S64_Ogawa_2023,Ogawa,campsite,cluster-d,Don-Bosco
46_S46_Ogawa_2023,Ogawa,campsite,cluster-b,Bulengo
51_S51_Hikojima_2023,Hikojima,campsite,cluster-c,Rusayo
61_S61_Ogawa_2023,Ogawa,campsite,cluster-d,Don-Bosco
3439_23_S58_Inaba_2023,Inaba,campsite,cluster-a,Nzulo
3604_S53_Ogawa_2023,Ogawa,campsite,cluster-d,Don-Bosco
42_S42_Inaba_2023,Inaba,campsite,cluster-e,Kanyaruchinya
53_S53_Inaba_2023,Inaba,campsite,cluster-a,Nzulo
3502_23_S9_Ogawa_2023,Ogawa,campsite,cluster-b,Bulengo
3549_S69_Inaba_2023,Inaba,campsite,cluster-e,Kanyaruchinya
3596_23_S79_Inaba_2023,Inaba,campsite,cluster-b,Bulengo
3597_23_S10_Ogawa_2023,Ogawa,campsite,cluster-b,Bulengo
3602_23_S61_Inaba_2023,Inaba,campsite,cluster-d,Don-Bosco
3609_23_S63_Inaba_2023,Inaba,campsite,cluster-d,Don-Bosco
145_S145_Inaba_2023,Inaba,env,env,Buhimba
146_S146_Inaba_2023,Inaba,env,env,Buhimba
138_S138_Ogawa_2023,Ogawa,env,env,Mubambiro mouth
137_S137_S1_Ogawa_2023,Ogawa,env,env,Mubambiro mouth
190_S190_Ogawa_2023,Ogawa,campsite,cluster-c,Rusayo
43_S43_Inaba_2023,Inaba,campsite,cluster-b,Bulengo
50_S50_Ogawa_2023,Ogawa,campsite,cluster-c,Rusayo
188_S188_Inaba_2023,Inaba,campsite,cluster-c,Rusayo
4086_S64_Inaba_2023,Inaba,ctc,ctc,Buhimba
4087_S51_Hikojima_2023,Hikojima,ctc,ctc,Buhimba
4144_S55_Inaba_2023,Inaba,campsite,cluster-e,Munigi
4152_S60_Hikojima_2023,Hikojima,campsite,cluster-c,Rusayo
118_S118_Inaba_2023,Inaba,campsite,cluster-a,Nzulo
4232_S62_Inaba_2023,Inaba,campsite,cluster-e,Munigi
93_S93_Inaba_2023,Inaba,campsite,cluster-e,Munigi
8_S8_Ogawa_2023,Ogawa,campsite,cluster-e,Kanyaruchinya
4188_23_S7_Inaba_2023,Inaba,campsite,cluster-a,Nzulo
87_S87_Ogawa_2023,Ogawa,campsite,cluster-e,Kanyaruchinya
4258_S59_Ogawa_2023,Ogawa,campsite,cluster-a,Nzulo
4234_S68_Inaba_2023,Inaba,ctc,ctc,Buhimba
128_S128_Inaba_2023,Inaba,campsite,cluster-a,Nzulo
136_S136_Ogawa_2023,Ogawa,env,env,Buhimba
4254_S67_Inaba_2023,Inaba,campsite,cluster-a,Nzulo
94_S94_Hikojima_2023,Hikojima,campsite,cluster-b,Buhimba
4253_23_S80_Inaba_2023,Inaba,campsite,cluster-a,Nzulo
4255_23_S78_Inaba_2023,Inaba,campsite,cluster-a,Nzulo
56_S56_Inaba_2023,Inaba,campsite,cluster-c,Rusayo
111_S111_Ogawa_2023,Ogawa,campsite,cluster-c,Rusayo
115_S115_Inaba_2023,Inaba,campsite,cluster-c,Rusayo
130_S130_Inaba_2023,Inaba,campsite,cluster-c,Rusayo
6_S6_Ogawa_2023,Ogawa,campsite,cluster-e,Kanyaruchinya
